User Name,Number of Tweet,Number of Retweet,Average Length of Tweets,Standard Deviation of Length of Tweets,Average Number of Post Containing URLs,Number of Words Per Tweet,Number of Digits Per Tweet,Retweet Ratio,Hashtag Ratio,Mention Ratio,URL Ratio,Unique Mention Ratio,Unique Post Ratio,Mean of Like Count,Mean of Quote Count,Mean of Reply Count,Mean of Retweet Count,Number of Unique Source,Source Ratio,Number of Post Per Day,Tweet Similarity,Maximum Time Interval Between Post,Minimum Time Interval Between Post,Mean of Time Between Post,Standard Deviation of Time Interval Between Post,Idle Hours,Maximum Time Interval Between Retweets,Minimum Time Interval Between Retweets,Mean of Time Between Retweets,Standard Deviation of Time Interval Between Retweets,Maximum Time Interval Between Tweets,Minimum Time Interval Between Tweets,Mean of Time Between Tweets,Standard Deviation of Time Interval Between Tweets,Post Time Pattern,Followers Count,Following Count,Listed Count,Protected,Verified,Length of Description,Followers Ratio,Profile Image,Age of Account in Days,Listed Count Ratio,Reputation,Burstiness,Class
gAAAAABlHALR9rND9jLX0_pIBwR1m9k-Oxt8zd0Px0BBdPimb46eDl8pOoxm2nFso4yB3n2eykWz1hgm6xf1sydkTTDcSpznLg==,0,1,0.0,0.0,0.0,20,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,108.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,8,29,0,0,0,59,0.275862069,1,3600,0.0,0.2162162162,1.0,0
gAAAAABlHALRbt9uCq-mby80L_vkjRV-g8XYXj96FaSxi5yrwpj-MwXOZ_adNjurAGar-PVMdxs5GTvjVrMNvP3fkijR-dzTFA==,0,1,0.0,0.0,0.0,24,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,191,293,2,0,0,149,0.6518771331,1,634,0.003154574132,0.3946280992,1.0,0
gAAAAABlHALRYZk_4ulwC0g8qg7_DL76BpaWccXgCNXyQT5apIlTeagX8xW2FD70N0o-b4V8meWPMFrF7T7B9rtG9XUHhKNU1g==,0,1,0.0,0.0,0.0,17,0.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,105,738,1,0,0,106,0.1422764228,1,3300,0.000303030303,0.1245551601,1.0,0
gAAAAABlHALR0OrJlwYYzhIvB5ddo0PjUwJDPcAah1BgIX2UsQ-6KQzAqBD6Ka-LIneAS8JIGR_9-Np6YrJhjg03dYufqz6grQ==,0,1,0.0,0.0,0.0,24,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,82,169,2,0,0,138,0.4852071006,1,4719,0.0004238186056,0.3266932271,1.0,0
gAAAAABlHALRMJw85r1yrx3t_zUO-igbuLJlGfcP0L8p0pZ0qsXo3qH2jvc3JL8jrG5WUSRIQzTIhYCqliCJOHQW3953Fscyxg==,1,0,147.0,0.0,0.0,21,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,35,143,1,0,0,0,0.2447552448,1,2297,0.0004353504571,0.1966292135,1.0,0
gAAAAABlHALRpXZN8WS0LwBjhE_F7ln7tKg6fEbNotC9VFsghBSVyvKUWeT0Qp4CBLyM7nmLo3Tgn4FT1-GKpf0PvJ_UkOgz0g==,0,1,0.0,0.0,0.0,21,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,25.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3,15,0,0,0,25,0.2,1,416,0.0,0.1666666667,1.0,0
gAAAAABlHALRAgaSF9Tfp2oEYDW9xHEDoQMY9Xcp4JHzDVHVYfg9jhHgZeOf5VhEqdmLCVdXeO2_62U5oChE6lHQ23nim6SP5g==,0,39,0.0,0.0,0.3333333333,698,2.205128205,1.0,2.307692308,1.0,0.3333333333,0.3076923077,1.0,0.0,0.0,0.0,87.87179487,1,0.0005081300813,1.258064516,0.0,14836282,14,6501914.132,4856810.141,68631.31583,14836282,14,6501914.132,4856810.141,0,0,0.0,0.0,5.247927513,2310,3622,89,0,0,136,0.6377691883,1,3749,0.02373966391,0.3894133513,1.999999449,0
gAAAAABlHALRx7gZox72o1eIXK8oP3AuYrpXpIO8TxoCB5mfgovgDBJAdaWSmcmxs5hkZ0kjmQfvULQHYAO6z-MXO_4tmDMKCw==,0,1,0.0,0.0,0.0,22,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,109.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,12,23,0,0,0,17,0.5217391304,1,661,0.0,0.3428571429,1.0,0
gAAAAABlHALRHU4vJBBAp0US5MfNZRCnkfTJgeiAeDCN7hkLYeQCwg7_PaTsj5h8lNb600PF581TveB2scwBpTiZYhCNBkGwlA==,0,1,0.0,0.0,0.0,20,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,345.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1185,2382,4,0,0,148,0.4974811083,1,649,0.006163328197,0.3322119428,1.0,0
gAAAAABlHALRvzWpGmne0lLGfWbP_2ZnTXisHLshkBd8ozXby86_khHEdrcS_HGwawUdeXVeQKeoTIrE0QpxtS8SRvCQThSsnQ==,0,2,0.0,0.0,0.0,43,0.0,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,41.5,1,0.0005081300813,2.0,0.0,18089,18089,18089.0,0.0,5.024722222,18089,18089,18089.0,0.0,0,0,0.0,0.0,0.0,40,138,1,0,0,44,0.2898550725,1,4277,0.0002338087444,0.2247191011,0.0,0
gAAAAABlHALREdq-OorMW-_q-dR9LRrToc1dHGtWdAHNDyk7A7NUThmc14Am03hV6r_mUnSnxGRRzbyGioPZ1-q2TCONfryUpQ==,0,10,0.0,0.0,0.4,177,4.8,1.0,0.5,1.0,0.4,1.0,1.0,0.0,0.0,0.0,118.9,1,0.0005081300813,1.0,0.0,11027533,1173069,4560296.222,3430586.012,11400.74056,11027533,1173069,4560296.222,3430586.012,0,0,0.0,0.0,3.169925001,2243,3777,13,0,0,131,0.5938575589,1,3532,0.003680634202,0.3725913621,1.999999225,0
gAAAAABlHALRQK5Bqh9FeesJxkzVtsay8GLgkuWisbdIp6Lf9XCnlX-jkz26-S2BgcpIfxNRoAygCZPgvRq3LzbppywMzF5U0Q==,0,1,0.0,0.0,0.0,24,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,720.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,292,870,0,0,0,159,0.3356321839,1,4616,0.0,0.2512908778,1.0,0
gAAAAABlHALRE273YVcv00MXOPi9toVYsfQhWadwGejvqurRSYLbC5NHPB3XCnbo7DjjDLIAzsGfmjXj9i91-3_V8Ds-tE6bCA==,0,1,0.0,0.0,0.0,18,12.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,193.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,17,157,0,0,0,156,0.1082802548,1,1735,0.0,0.09770114943,1.0,0
gAAAAABlHALRPkHZwNc-Y8cBiwNIMKOq00A1_FIDwsqsTlyzXD_GCCrp8h_mJs5qVQVP54FcRxXfztbRijQ1FQcQKTVy7DNfJw==,0,1,0.0,0.0,0.0,25,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,158.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,111,419,0,0,0,77,0.2649164678,1,5171,0.0,0.2094339623,1.0,0
gAAAAABlHALRP89U-Y9VxJrNenCq8o26esojOdwRyiudpGJpv-w00HFqO952BrsodBab0RcoUl0O1IEogrhAEUy3lZ1gB_5QuA==,0,1,0.0,0.0,0.0,27,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6384.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,18,86,0,0,0,81,0.2093023256,1,1633,0.0,0.1730769231,1.0,0
gAAAAABlHALRXaf7Cp2cpYBIYzJj77pPjlZvWKFxd2xWQvccPrqR_iYdWbUbkQlxd0AImOtqCFkJxhsjuNDewtQIjI-22W4dow==,0,1,0.0,0.0,0.0,23,0.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,34.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,55,652,11,0,0,0,0.08435582822,1,436,0.0252293578,0.07779349364,1.0,0
gAAAAABlHALRtbE9D_Zx87XSyxTxI1KItQKBAAzaktV1jE3h6D1qI6AWbkSfLt3cmwWQArG7j2rZ5ifX66WkN7_S2PnlgYq1vQ==,0,1,0.0,0.0,0.0,23,0.0,1.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,6,119,0,0,0,17,0.05042016807,1,3999,0.0,0.048,1.0,0
gAAAAABlHALRPdWYwpJHpz4bA_tMZVTxfUjMGJgcooPBRAWGy0YZ2vXT91fxlhpV_CpiBJHqLBiJf5N-lz3xRjyJm7b8Uis_Cg==,0,1,0.0,0.0,0.0,24,4.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,185,469,1,0,0,116,0.39445629,1,843,0.00118623962,0.2828746177,1.0,0
gAAAAABlHALRP_8twN23hHZLbDdhIoLf6QGPFcXPAaBAF5TYJqkbVZmaK_4ziXWhKIdQbYYiIxiOMFxys42dopURxIrlAcTO5w==,1,0,56.0,0.0,0.0,9,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,72,760,0,0,0,31,0.09473684211,1,3049,0.0,0.08653846154,1.0,0
